nodenumber,txnumber,savebroadcast,redundancy,packetreceived,broadcastlatency,energyconsumption,reachability,contention,collision
50,17,0.66,0.34,2.56,6,0.130719,0.94,5,2
75,30,0.6,0.4,4.96,7,0.361322,0.64,31,9
100,28,0.72,0.28,4.3,7,0.4035,0.64,29,10
125,27,0.784,0.216,4.056,7,0.46873,0.76,20,15
150,31,0.793333,0.206667,4.94667,7,0.674945,0.66,37,25
175,32,0.817143,0.182857,5.46286,6,0.865998,0.691429,46,23
200,33,0.835,0.165,5.9,6,1.05808,0.575,48,33
225,36,0.84,0.16,6.31111,6,1.2696,0.573333,52,37
250,32,0.872,0.128,5.368,6,1.19567,0.496,39,45
