nodenumber	txnumber	savebroadcast	redundancy	packetreceived	broadcastlatency	energyconsumption	reachability	contention	collision
50	17	0.66	0.34	2.5	6	0.128192	0.94	5	2
75	27	0.64	0.36	4.24	7	0.310221	0.706667	19	13
100	27	0.73	0.27	4.27	7	0.399105	0.74	25	12
125	23	0.816	0.184	3.808	6	0.43662	0.728	23	14
150	25	0.833333	0.166667	4.02667	7	0.548944	0.713333	22	16
175	27	0.845714	0.154286	4.65143	6	0.732579	0.674286	34	21
200	28	0.86	0.14	5.155	6	0.918026	0.64	44	24
225	32	0.857778	0.142222	5.50222	6	1.09843	0.528889	39	31
250	34	0.864	0.136	5.896	6	1.30767	0.52	52	39
