nodenumber,txnumber,savebroadcast,redundancy,packetreceived,broadcastlatency,energyconsumption,reachability,contention,collision
50,17,0.66,0.34,2.56,10,0.130719,0.96,1,0
75,30,0.6,0.4,4.96,16,0.359843,0.96,10,5
100,26,0.74,0.26,3.9,13,0.365323,0.97,9,3
125,27,0.784,0.216,4.056,14,0.46799,0.992,6,2
150,28,0.813333,0.186667,4.38667,15,0.597088,0.986667,9,2
175,32,0.817143,0.182857,5.46286,18,0.864519,1,6,5
200,33,0.835,0.165,5.9,17,1.05439,1,9,6
225,36,0.84,0.16,6.31111,19,1.26442,0.973333,9,6
250,32,0.872,0.128,5.368,18,1.1905,0.908,9,10
