nodenumber	txnumber	savebroadcast	redundancy	packetreceived	broadcastlatency	energyconsumption	reachability	contention	collision
50	17	0.66	0.34	2.5	6	0.128192	0.94	5	2
75	28	0.626667	0.373333	4.42667	7	0.324624	0.68	21	13
100	27	0.73	0.27	4.27	7	0.399105	0.74	25	12
125	23	0.816	0.184	3.808	6	0.43662	0.728	23	14
150	25	0.833333	0.166667	4.02667	7	0.548944	0.713333	22	16
175	27	0.845714	0.154286	4.65143	6	0.732579	0.674286	34	21
200	28	0.86	0.14	5.04	6	0.896428	0.665	38	26
225	31	0.862222	0.137778	5.28	6	1.05369	0.533333	35	27
250	35	0.86	0.14	6.108	6	1.35641	0.484	55	39
