nodenumber	txnumber	savebroadcast	redundancy	packetreceived	broadcastlatency	energyconsumption	reachability	contention	collision
50	17	0.66	0.34	2.5	10	0.128192	0.96	1	0
75	31	0.586667	0.413333	4.94667	18	0.363826	1	6	8
100	34	0.66	0.34	5.39	16	0.504326	0.96	14	2
125	30	0.76	0.24	4.832	16	0.556801	0.968	9	3
150	37	0.753333	0.246667	5.82	18	0.795787	0.993333	14	6
175	33	0.811429	0.188571	5.37714	17	0.845614	0.977143	9	9
200	38	0.81	0.19	6.485	21	1.16082	0.995	9	13
225	38	0.831111	0.168889	6.19111	19	1.23875	0.977778	9	15
250	41	0.836	0.164	6.652	20	1.47333	0.98	13	5
