nodenumber	txnumber	savebroadcast	redundancy	packetreceived	broadcastlatency	energyconsumption	reachability	contention	collision
50	17	0.66	0.34	2.5	10	0.128192	0.96	1	0
75	28	0.626667	0.373333	4.42667	16	0.323885	0.986667	5	8
100	27	0.73	0.27	4.27	13	0.398366	0.97	10	2
125	23	0.816	0.184	3.808	12	0.43662	0.96	6	1
150	27	0.82	0.18	4.34667	14	0.590165	0.98	11	2
175	27	0.845714	0.154286	4.65143	16	0.731839	0.977143	7	5
200	28	0.86	0.14	5.04	16	0.895689	0.96	8	11
225	31	0.862222	0.137778	5.28	16	1.05148	0.928889	9	7
250	35	0.86	0.14	6.108	19	1.35345	0.976	9	6
